一 eins
宛 Adresse
腕 Arm
苑 Lustgarten
怨 Groll
柳 Weidenbaum
卵 Ei
留 bleiben
貿 Kommerz
印 Stempel
興 Unterhaltung
酉 Zeichen des Hahns
酒 Sake
酌 einschenken
酵 Gärung
酷 grausam
酬 Vergeltung
酪 Molkereiprodukte
酢 Essig
酔 betrunken
配 zuteilen
酸 Säure
猶 aufschieben
尊 achten
豆 Bohne
頭 Kopf
短 kurz
豊 reichlich
鼓 Trommel
喜 fröhlich
樹 Gehölz
皿 Schale
血 Blut
盆 Tablett
盟 Bündnis
盗 stehlen
温 warm
監 überwachen
濫 überlaufen
鑑 Vorbild
猛 wild
盛 Blütezeit
塩 Salz
銀 Silber
恨 übel nehmen
根 Wurzel
即 sofort
爵 Baron
節 Knotenpunkt
退 zurückweichen
限 begrenzen
眼 Augapfel
良 gut
朗 heiter
浪 Wogen
娘 Tochter
食 essen
飯 Mahlzeit
飲 trinken
飢 hungrig
餓 verhungern
飾 schmücken
館 Gebäude
養 ernähren
飽 satt
既 bereits
概 ungefähr
慨 wehmütig
平 flach
呼 rufen
坪 Tsubo
評 bewerten
刈 mähen
希 Hoffnung
凶 Schurke
胸 Brust
離 entfernen
殺 töten
純 echt
鈍 stumpf
辛 würzig
辞 abdanken
梓 Katalpa
宰 Anführer
壁 Mauer
避 vermeiden
新 neu
薪 Brennholz
親 Eltern
幸 glücklich
執 beharrlich
報 Meldung
叫 schreien
糾 drehen und wenden
収 einnehmen
卑 gemein
碑 Grabstein
陸 Festland
睦 intim
勢 Macht
熱 Hitze
菱 Rhombus
陵 Mausoleum
亥 Zeichen des Wildschweines
核 Kern
刻 schnitzen
該 betreffend
劾 Verbrechensaufklärung
述 erwähnen
術 Fertigkeit
寒 kalt
醸 brauen
譲 Abtretung
壌 Grundstück
嬢 Mädchen
毒 Gift
素 elementar
麦 Gerste
青 blau
精 raffiniert
請 bitten
情 Sympathie
晴 aufklaren
清 rein
静 Stillstand
責 zur Rechenschaft ziehen
績 Errungenschaft
積 stapeln
債 Schuldschein
漬 einmachen
表 Vorderseite
俵 Strohsäcke
潔 unbeschmutzt
契 geloben
喫 verzehren
害 beschädigen
轄 kontrollieren
割 Anteil
憲 Verfassung
生 Leben
星 Stern
姓 Nachname
性 Geschlecht
牲 Tieropfer
産 Produktion
隆 Erhebung
峰 Gipfel
縫 nähen
拝 anbeten
寿 Langlebigkeit
鋳 Metallguss
籍 registriert
春 Frühling
椿 Kamelie
泰 friedlich
奏 musizieren
実 Wirklichkeit
奉 widmen
俸 Lohn
棒 Stange
謹 ergebenst
勤 emsig
漢 chinesisch
嘆 seufzen
難 schwierig
華 prachtvoll
垂 baumeln
睡 Schlummer
錘 Spindel
乗 fahren
剰 Überschuss
今 jetzt
含 umfassen
吟 vortragen
念 Gedanke
琴 Koto-Harfe
陰 Finsternis
予 vorher
序 Vorwort
預 aufbewahren
野 Feldflur
兼 gleichzeitig
嫌 verabscheuen
鎌 Sichel
謙 Demut
廉 billig
西 Westen
価 Wert
要 benötigen
腰 Lenden
票 Stimmzettel
漂 vorüberziehen
標 Markierungspfosten
栗 Kastanie
遷 Übergang
覆 kentern
煙 Rauch
南 Süden
楠 Kampferbaum
献 spenden
門 Tor
問 Frage
閲 inspizieren
閥 Clique
間 Zwischenraum
簡 bündig
開 öffnen
閉 schließen
閣 Turm
閑 Muße
聞 hören
潤 nass
欄 Kolumne
闘 kämpfen
倉 Magazin
創 Schöpfung
非 un-
俳 Haiku
排 ausstoßen
悲 traurig
罪 Schuld
輩 Genosse
扉 Vordertür
侯 Marquis
候 Klima
決 entscheiden
快 angenehm
偉 bedeutend
違 abweichend
緯 Breitengrad
衛 verteidigen
韓 Korea
干 trocknen
肝 Leber
刊 veröffentlichen
汗 Schweiß
軒 Häuser
岸 Ufer
幹 Baumstamm
芋 Kartoffel
宇 Dachvorsprung
余 allzu
除 ausschließen
徐 langsam
叙 schildern
途 unterwegs
斜 diagonal
塗 bemalen
束 Bündel
頼 Vertrauen
瀬 Stromschnellen
勅 kaiserlicher Befehl
疎 Entfremdung
速 schnell
整 regulieren
剣 Säbel
険 steil
検 Beschau
倹 sparsam
重 schwer
動 bewegen
勲 Großtat
働 arbeiten
種 Art
衝 zusammenstoßen
薫 duften
病 krank
痴 dumm
痘 Pocken
症 Symptome
疾 geschwind
痢 Durchfall
疲 müde
疫 Epidemie
痛 Schmerz
癖 Eigenart
匿 verstecken
匠 Zimmermann
医 Arzt
匹 ebenbürtig
区 Distrikt
枢 Angelpunkt
殴 prügeln
欧 Europa
抑 unterdrücken
仰 aufblicken
迎 willkommen heißen
登 erklimmen
澄 klar
発 hervorbringen
廃 abgeschafft
僚 Kollege
寮 Wohnheim
療 therapieren
彫 bildhauern
形 Form
影 Schatten
杉 Zeder
彩 kolorieren
彰 deutlich
彦 Knabe
顔 Gesicht
須 müssen
膨 schwellen
参 aufsuchen
惨 elend
修 sich beherschen
珍 selten
診 Diagnose
文 Text
対 gegen
紋 Familienwappen
蚊 Mücke
斉 gleichmäßig
剤 Mittel
済 beenden
斎 rituelle Reinigung
粛 feierlich
塁 Baseball-Mal
楽 Musik
薬 Arznei
率 Rate
渋 herb
摂 in sich aufnehmen
央 Zentrum
英 England
映 reflektieren
赤 rot
赦 vergeben
変 anders
跡 Spuren
蛮 Barbar
恋 Liebschaft
湾 Meerbusen
黄 gelb
横 waagerecht
把 fassen
色 Farbton
